t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP
5.265904,0.954,-0.17,0.024,-85.0,-94.0,-81.0
5.315952,1.016,-0.158,0.016,-85.0,-94.0,-81.0
5.366,1.016,-0.146,0.022,-85.0,-94.0,-81.0
5.415856,0.934,-0.122,0.03,-84.0,-86.0,-79.0
5.465904,0.966,-0.162,-0.002,-84.0,-86.0,-79.0
5.515952,0.962,-0.13,-0.016,-84.0,-86.0,-79.0
5.566,0.974,-0.148,0.034,-84.0,-86.0,-79.0
5.615856,1.004,-0.282,-0.002,-97.0,-84.0,-79.0
5.665904,0.974,-0.334,-0.01,-97.0,-84.0,-79.0
5.715952,0.952,-0.298,-0.046,-97.0,-84.0,-79.0
5.766,0.908,-0.242,-0.084,-97.0,-84.0,-79.0
5.815856,0.882,-0.174,-0.09,-84.0,-83.0,-81.0
5.865904,0.88,-0.17,-0.11,-84.0,-83.0,-81.0
5.915952,0.91,-0.16,-0.098,-84.0,-83.0,-81.0
5.966,0.934,-0.16,-0.056,-84.0,-83.0,-81.0
6.015856,0.96,-0.11,-0.008,-83.0,-89.0,-80.0
6.065904,0.982,-0.148,0.054,-83.0,-89.0,-80.0
6.115952,1.014,-0.16,0.076,-83.0,-89.0,-80.0
6.166,0.966,-0.184,0.044,-83.0,-89.0,-80.0
6.216856,0.984,-0.174,0.006,-83.0,-87.0,-79.0
6.266904,0.974,-0.176,-0.032,-83.0,-87.0,-79.0
6.316952,0.966,-0.194,-0.084,-83.0,-87.0,-79.0
6.367,0.966,-0.194,-0.088,-83.0,-87.0,-79.0
6.416856,0.96,-0.208,-0.08,-83.0,-87.0,-79.0
6.466904,0.956,-0.2,-0.078,-83.0,-87.0,-79.0
6.516952,0.96,-0.196,-0.036,-83.0,-87.0,-79.0
6.567,0.972,-0.18,-0.028,-83.0,-87.0,-79.0
6.616856,0.984,-0.168,-0.026,-85.0,-90.0,-81.0
6.666904,0.974,-0.154,-0.032,-85.0,-90.0,-81.0
6.716952,0.978,-0.144,-0.026,-85.0,-90.0,-81.0
6.767,0.974,-0.146,-0.04,-85.0,-90.0,-81.0
6.816856,0.964,-0.13,-0.052,-85.0,-89.0,-79.0
6.866904,0.956,-0.136,-0.05,-85.0,-89.0,-79.0
6.916952,0.96,-0.136,-0.052,-85.0,-89.0,-79.0
6.967,0.962,-0.144,-0.04,-85.0,-89.0,-79.0
7.016856,0.956,-0.154,-0.032,-85.0,-87.0,-78.0
7.066904,0.962,-0.164,-0.018,-85.0,-87.0,-78.0
7.116952,0.966,-0.17,-0.008,-85.0,-87.0,-78.0
7.167,0.968,-0.18,-0.026,-85.0,-87.0,-78.0
7.217856,0.966,-0.178,-0.042,-84.0,-84.0,-80.0
7.267904,0.976,-0.168,-0.052,-84.0,-84.0,-80.0
7.317952,0.978,-0.152,-0.03,-84.0,-84.0,-80.0
7.368,0.982,-0.152,-0.024,-84.0,-84.0,-80.0
7.417856,0.966,-0.126,-0.002,-86.0,-83.0,-79.0
7.467904,0.976,-0.132,-0.008,-86.0,-83.0,-79.0
7.517952,0.992,-0.136,0.006,-86.0,-83.0,-79.0
7.568,0.96,-0.116,0.018,-86.0,-83.0,-79.0
7.617856,0.942,-0.13,0.014,-95.0,-96.0,-80.0
7.667904,0.894,-0.128,-0.01,-95.0,-96.0,-80.0
7.717952,0.934,-0.138,-0.014,-95.0,-96.0,-80.0
7.768,0.974,-0.16,0.038,-95.0,-96.0,-80.0
7.817856,0.974,-0.206,0.056,-91.0,-83.0,-80.0
7.867904,0.974,-0.174,0.048,-91.0,-83.0,-80.0
7.917952,0.962,-0.138,0.046,-91.0,-83.0,-80.0
7.968,0.984,-0.16,0.032,-91.0,-83.0,-80.0
8.017856,0.96,-0.142,0.006,-96.0,-88.0,-80.0
8.067904,0.944,-0.136,-0.05,-96.0,-88.0,-80.0
8.117952,0.962,-0.144,-0.066,-96.0,-88.0,-80.0
8.168,1.166,-0.744,-0.204,-96.0,-88.0,-80.0
8.217856,0.976,-0.482,-0.372,-94.0,-88.0,-81.0
8.267904,0.878,-0.206,-0.248,-94.0,-88.0,-81.0
8.317952,0.902,-0.298,-0.26,-94.0,-88.0,-81.0
8.368,0.808,-0.384,-0.224,-94.0,-88.0,-81.0
8.618856,0.862,-0.4,-0.348,-85.0,-95.0,-85.0
8.668904,0.856,-0.43,-0.346,-85.0,-95.0,-85.0
8.718952,0.876,-0.424,-0.4,-85.0,-95.0,-85.0
8.769,0.918,-0.52,-0.376,-85.0,-95.0,-85.0
8.818856,0.896,-0.52,-0.384,-85.0,-87.0,-88.0
8.868904,0.846,-0.346,-0.29,-85.0,-87.0,-88.0
8.918952,0.802,-0.298,-0.204,-85.0,-87.0,-88.0
8.969,0.75,-0.288,-0.2,-85.0,-87.0,-88.0
9.018856,0.736,-0.266,-0.226,-93.0,-85.0,-81.0
9.068904,0.718,-0.218,-0.25,-93.0,-85.0,-81.0
9.118952,0.766,-0.228,-0.266,-93.0,-85.0,-81.0
9.169,0.888,-0.18,-0.306,-93.0,-85.0,-81.0
9.218856,0.924,-0.184,-0.28,-96.0,-102.0,-91.0
9.268904,1.08,-0.2,-0.282,-96.0,-102.0,-91.0
9.318952,1.08,-0.25,-0.244,-96.0,-102.0,-91.0
9.369,0.988,-0.244,-0.242,-96.0,-102.0,-91.0
9.418856,0.934,-0.184,-0.216,-100.0,-88.0,-86.0
9.468904,0.98,-0.136,-0.194,-100.0,-88.0,-86.0
9.518952,0.962,-0.144,-0.19,-100.0,-88.0,-86.0
9.569,0.954,-0.136,-0.178,-100.0,-88.0,-86.0
9.619856,0.892,-0.16,-0.208,-93.0,-90.0,-91.0
9.669904,0.926,-0.142,-0.208,-93.0,-90.0,-91.0
9.719952,0.936,-0.122,-0.208,-93.0,-90.0,-91.0
9.77,0.928,-0.104,-0.19,-93.0,-90.0,-91.0
9.819856,0.92,-0.114,-0.186,-94.0,-82.0,-81.0
9.869904,0.972,-0.114,-0.176,-94.0,-82.0,-81.0
9.919952,0.95,-0.094,-0.154,-94.0,-82.0,-81.0
9.97,0.944,-0.112,-0.132,-94.0,-82.0,-81.0
10.019856,0.93,-0.116,-0.12,,-81.0,-77.0
10.069904,0.946,-0.118,-0.126,,-81.0,-77.0
10.119952,0.96,-0.122,-0.142,,-81.0,-77.0
10.17,0.96,-0.144,-0.136,,-81.0,-77.0
10.219856,0.974,-0.144,-0.154,-101.0,-84.0,-76.0
10.269904,0.978,-0.148,-0.17,-101.0,-84.0,-76.0
10.319952,0.976,-0.16,-0.186,-101.0,-84.0,-76.0
10.37,0.964,-0.16,-0.194,-101.0,-84.0,-76.0
10.419856,0.974,-0.16,-0.208,-89.0,-82.0,-74.0
10.469904,0.956,-0.158,-0.202,-89.0,-82.0,-74.0
10.519952,0.94,-0.17,-0.19,-89.0,-82.0,-74.0
10.57,0.942,-0.16,-0.168,-89.0,-82.0,-74.0
10.620856,0.936,-0.154,-0.148,-89.0,-78.0,-87.0
10.670904,0.954,-0.16,-0.16,-89.0,-78.0,-87.0
10.720952,0.952,-0.172,-0.138,-89.0,-78.0,-87.0
10.771,0.918,-0.18,-0.112,-89.0,-78.0,-87.0
10.820856,0.91,-0.176,-0.072,-95.0,-85.0,-94.0
10.870904,0.92,-0.16,-0.084,-95.0,-85.0,-94.0
10.920952,0.982,-0.152,-0.08,-95.0,-85.0,-94.0
10.971,0.972,-0.152,-0.064,-95.0,-85.0,-94.0
11.020856,0.988,-0.186,0.002,-94.0,-95.0,-84.0
11.070904,1.008,-0.186,0.092,-94.0,-95.0,-84.0
11.120952,0.978,-0.02,0.216,-94.0,-95.0,-84.0
11.171,0.966,-0.032,0.096,-94.0,-95.0,-84.0
11.220856,0.958,-0.168,-0.016,-89.0,-94.0,-80.0
11.270904,0.908,-0.21,-0.072,-89.0,-94.0,-80.0
11.320952,0.95,-0.18,-0.066,-89.0,-94.0,-80.0
11.371,0.96,-0.17,-0.058,-89.0,-94.0,-80.0
11.420856,0.974,-0.178,0.016,-90.0,-85.0,-80.0
11.470904,0.99,-0.116,0.056,-90.0,-85.0,-80.0
11.520952,0.972,-0.062,0.056,-90.0,-85.0,-80.0
11.571,0.968,-0.094,0.018,-90.0,-85.0,-80.0
11.621856,0.966,-0.132,-0.01,-93.0,-87.0,-79.0
11.671904,0.962,-0.138,-0.04,-93.0,-87.0,-79.0
11.721952,0.972,-0.154,-0.032,-93.0,-87.0,-79.0
11.772,0.992,-0.154,0.024,-93.0,-87.0,-79.0
11.821856,0.992,-0.144,0.024,-93.0,-87.0,-78.0
11.871904,0.986,-0.144,0.016,-93.0,-87.0,-78.0
11.921952,0.966,-0.136,0.012,-93.0,-87.0,-78.0
11.972,0.958,-0.144,-0.016,-93.0,-87.0,-78.0
12.021856,0.966,-0.144,-0.008,-94.0,-87.0,-79.0
12.071904,0.982,-0.142,0.006,-94.0,-87.0,-79.0
12.121952,0.966,-0.142,0.006,-94.0,-87.0,-79.0
12.172,0.97,-0.148,0.022,-94.0,-87.0,-79.0
12.221856,0.94,-0.16,-0.002,-93.0,-86.0,-78.0
12.271904,0.966,-0.138,-0.008,-93.0,-86.0,-78.0
12.321952,0.966,-0.144,-0.008,-93.0,-86.0,-78.0
12.372,0.96,-0.142,0.006,-93.0,-86.0,-78.0
12.421856,0.966,-0.126,-0.004,-93.0,-86.0,-79.0
12.471904,0.978,-0.128,-0.008,-93.0,-86.0,-79.0
12.521952,0.968,-0.122,0.006,-93.0,-86.0,-79.0
12.572,0.962,-0.132,-0.012,-93.0,-86.0,-79.0
12.622856,0.974,-0.116,-0.008,-95.0,-85.0,-78.0
12.672904,0.982,-0.116,-0.01,-95.0,-85.0,-78.0
12.722952,0.974,-0.132,0.014,-95.0,-85.0,-78.0
12.773,0.966,-0.124,-0.002,-95.0,-85.0,-78.0
12.822856,0.976,-0.126,-0.002,-93.0,-84.0,-79.0
12.872904,0.972,-0.128,-0.004,-93.0,-84.0,-79.0
12.922952,0.974,-0.136,-0.008,-93.0,-84.0,-79.0
12.973,0.966,-0.122,-0.01,-93.0,-84.0,-79.0
13.022856,0.966,-0.122,-0.012,-93.0,-86.0,-79.0
13.072904,0.95,-0.138,-0.02,-93.0,-86.0,-79.0
13.122952,0.972,-0.132,-0.016,-93.0,-86.0,-79.0
13.173,0.96,-0.138,-0.008,-93.0,-86.0,-79.0
13.222856,0.968,-0.126,-0.016,-93.0,-85.0,-84.0
13.272904,0.968,-0.132,-0.008,-93.0,-85.0,-84.0
13.322952,0.968,-0.128,-0.024,-93.0,-85.0,-84.0
13.373,0.974,-0.136,-0.016,-93.0,-85.0,-84.0
13.422856,0.972,-0.122,-0.026,-95.0,-87.0,-84.0
13.472904,0.972,-0.128,-0.008,-95.0,-87.0,-84.0
13.522952,0.962,-0.136,-0.002,-95.0,-87.0,-84.0
13.573,0.97,-0.122,-0.008,-95.0,-87.0,-84.0
13.622856,0.984,-0.13,-0.026,-93.0,-85.0,-79.0
13.672904,0.976,-0.144,-0.008,-93.0,-85.0,-79.0
13.722952,0.974,-0.136,-0.01,-93.0,-85.0,-79.0
13.773,0.972,-0.122,0.002,-93.0,-85.0,-79.0
13.823856,0.968,-0.12,-0.016,-93.0,-84.0,-79.0
13.873904,0.966,-0.118,-0.016,-93.0,-84.0,-79.0
13.923952,0.966,-0.13,-0.018,-93.0,-84.0,-79.0
13.974,0.966,-0.12,0.008,-93.0,-84.0,-79.0
14.023856,0.966,-0.128,-0.01,-93.0,-85.0,-79.0
14.073904,0.976,-0.136,-0.012,-93.0,-85.0,-79.0
14.123952,0.968,-0.126,-0.004,-93.0,-85.0,-79.0
14.174,0.962,-0.126,-0.008,-93.0,-85.0,-79.0
14.223856,0.974,-0.13,-0.01,-95.0,-84.0,-78.0
14.273904,0.976,-0.128,-0.002,-95.0,-84.0,-78.0
14.323952,0.972,-0.136,0.006,-95.0,-84.0,-78.0
14.374,0.968,-0.126,-0.004,-95.0,-84.0,-78.0
14.423856,0.98,-0.136,-0.024,-96.0,-85.0,-78.0
14.473904,0.968,-0.132,0.006,-96.0,-85.0,-78.0
14.523952,0.968,-0.122,-0.014,-96.0,-85.0,-78.0
14.574,0.972,-0.128,-0.002,-96.0,-85.0,-78.0
14.623856,0.974,-0.128,-0.004,-96.0,-86.0,-79.0
14.673904,0.976,-0.136,-0.014,-96.0,-86.0,-79.0
14.723952,0.966,-0.132,0.012,-96.0,-86.0,-79.0
14.774,0.974,-0.122,0.002,-96.0,-86.0,-79.0
14.824856,0.972,-0.142,-0.002,-95.0,-87.0,-78.0
14.874904,0.974,-0.148,-0.008,-95.0,-87.0,-78.0
14.924952,0.962,-0.14,-0.008,-95.0,-87.0,-78.0
14.975,0.966,-0.128,-0.002,-95.0,-87.0,-78.0
15.024856,0.944,-0.142,0.006,-97.0,-87.0,-79.0
15.074904,0.974,-0.136,0.008,-97.0,-87.0,-79.0
15.124952,0.962,-0.132,0.008,-97.0,-87.0,-79.0
15.175,0.974,-0.128,-0.002,-97.0,-87.0,-79.0
15.224856,0.96,-0.144,-0.002,-96.0,-86.0,-78.0
15.274904,0.974,-0.142,0.016,-96.0,-86.0,-78.0
15.324952,0.974,-0.14,-0.002,-96.0,-86.0,-78.0
15.375,0.972,-0.13,-0.008,-96.0,-86.0,-78.0
15.424856,0.966,-0.128,-0.008,-95.0,-88.0,-78.0
15.474904,0.982,-0.144,-0.016,-95.0,-88.0,-78.0
15.524952,0.968,-0.13,-0.008,-95.0,-88.0,-78.0
15.575,0.974,-0.136,-0.008,-95.0,-88.0,-78.0
15.624856,0.958,-0.132,0.002,-96.0,-89.0,-78.0
15.674904,0.968,-0.136,-0.018,-96.0,-89.0,-78.0
15.724952,0.966,-0.144,-0.016,-96.0,-89.0,-78.0
15.775,0.974,-0.136,-0.002,-96.0,-89.0,-78.0
15.825856,0.944,-0.16,-0.01,-95.0,-88.0,-84.0
15.875904,0.972,-0.144,0.006,-95.0,-88.0,-84.0
15.925952,0.972,-0.146,-0.01,-95.0,-88.0,-84.0
15.976,0.972,-0.136,-0.008,-95.0,-88.0,-84.0
16.025856,0.984,-0.128,-0.01,-95.0,-88.0,-78.0
16.075904,0.974,-0.144,0.004,-95.0,-88.0,-78.0
16.125952,0.96,-0.142,0.006,-95.0,-88.0,-78.0
16.176,0.974,-0.146,-0.002,-95.0,-88.0,-78.0
16.225856,0.962,-0.15,-0.018,-96.0,-89.0,-79.0
16.275904,0.96,-0.154,-0.008,-96.0,-89.0,-79.0
16.325952,0.962,-0.132,-0.026,-96.0,-89.0,-79.0
16.376,0.974,-0.144,-0.004,-96.0,-89.0,-79.0
16.425856,0.964,-0.146,-0.008,-93.0,-86.0,-79.0
16.475904,0.966,-0.144,-0.008,-93.0,-86.0,-79.0
16.525952,0.972,-0.136,0.01,-93.0,-86.0,-79.0
16.576,0.97,-0.138,0.006,-93.0,-86.0,-79.0
16.625856,0.974,-0.152,0.006,-92.0,-88.0,-79.0
16.675904,0.964,-0.128,-0.008,-92.0,-88.0,-79.0
16.725952,0.972,-0.13,-0.02,-92.0,-88.0,-79.0
16.776,0.968,-0.136,-0.018,-92.0,-88.0,-79.0
16.826856,0.968,-0.144,-0.002,-92.0,-87.0,-78.0
16.876904,0.974,-0.144,-0.008,-92.0,-87.0,-78.0
16.926952,0.96,-0.132,-0.008,-92.0,-87.0,-78.0
16.977,0.974,-0.146,-0.02,-92.0,-87.0,-78.0
17.026856,0.966,-0.142,-0.002,-91.0,-86.0,-78.0
17.076904,0.96,-0.146,0.006,-91.0,-86.0,-78.0
17.126952,0.966,-0.152,-0.008,-91.0,-86.0,-78.0
17.177,0.96,-0.144,-0.016,-91.0,-86.0,-78.0
17.226856,0.978,-0.152,-0.012,-90.0,-85.0,-79.0
17.276904,0.974,-0.146,-0.016,-90.0,-85.0,-79.0
17.326952,0.972,-0.138,-0.014,-90.0,-85.0,-79.0
17.377,0.962,-0.144,-0.002,-90.0,-85.0,-79.0
17.426856,0.972,-0.128,-0.024,-90.0,-84.0,-79.0
17.476904,0.978,-0.128,-0.008,-90.0,-84.0,-79.0
17.526952,0.962,-0.13,-0.008,-90.0,-84.0,-79.0
17.577,0.97,-0.144,0.006,-90.0,-84.0,-79.0
17.626856,0.96,-0.144,-0.002,-89.0,-84.0,-79.0
17.676904,0.966,-0.148,0.006,-89.0,-84.0,-79.0
17.726952,0.974,-0.132,-0.008,-89.0,-84.0,-79.0
17.777,0.972,-0.122,-0.004,-89.0,-84.0,-79.0
17.827856,0.958,-0.132,-0.002,-90.0,-84.0,-80.0
17.877904,0.962,-0.122,-0.002,-90.0,-84.0,-80.0
17.927952,0.972,-0.136,-0.004,-90.0,-84.0,-80.0
17.978,0.972,-0.126,-0.01,-90.0,-84.0,-80.0
18.077904,0.966,-0.144,-0.008,-89.0,-85.0,-79.0
18.127952,0.97,-0.144,-0.004,-89.0,-85.0,-79.0
18.178,0.974,-0.13,-0.01,-89.0,-85.0,-79.0
18.227856,0.972,-0.136,-0.008,-88.0,-86.0,
18.277904,0.962,-0.138,-0.016,-88.0,-86.0,
18.327952,0.972,-0.146,-0.004,-88.0,-86.0,
18.378,0.968,-0.148,-0.026,-88.0,-86.0,
18.427856,0.966,-0.144,-0.03,-89.0,-86.0,-79.0
18.477904,0.974,-0.154,0.008,-89.0,-86.0,-79.0
18.527952,0.96,-0.136,-0.008,-89.0,-86.0,-79.0
18.578,0.96,-0.136,0.012,-89.0,-86.0,-79.0
18.627856,0.966,-0.142,-0.008,-89.0,-86.0,-79.0
18.677904,0.982,-0.138,-0.014,-89.0,-86.0,-79.0
18.727952,0.966,-0.136,-0.008,-89.0,-86.0,-79.0
18.778,0.958,-0.136,-0.004,-89.0,-86.0,-79.0
18.877904,0.966,-0.144,-0.016,-89.0,-87.0,-79.0
18.927952,0.974,-0.136,-0.004,-89.0,-87.0,-79.0
18.978,0.974,-0.148,-0.016,-89.0,-87.0,-79.0
19.028856,0.966,-0.136,-0.01,-89.0,-86.0,-79.0
19.078904,0.972,-0.142,-0.016,-89.0,-86.0,-79.0
19.128952,0.984,-0.138,-0.018,-89.0,-86.0,-79.0
19.179,0.966,-0.13,-0.016,-89.0,-86.0,-79.0
19.228856,0.982,-0.146,-0.01,-89.0,-86.0,-79.0
19.278904,0.978,-0.142,-0.004,-89.0,-86.0,-79.0
19.328952,0.974,-0.144,-0.016,-89.0,-86.0,-79.0
19.379,0.966,-0.132,-0.02,-89.0,-86.0,-79.0
19.428856,0.966,-0.132,-0.012,-89.0,-86.0,-79.0
19.478904,0.974,-0.138,-0.018,-89.0,-86.0,-79.0
19.528952,0.976,-0.142,-0.016,-89.0,-86.0,-79.0
19.579,0.966,-0.13,-0.008,-89.0,-86.0,-79.0
19.628856,0.972,-0.122,-0.018,-89.0,-87.0,-85.0
19.678904,0.924,-0.142,-0.012,-89.0,-87.0,-85.0
19.728952,0.978,-0.144,-0.008,-89.0,-87.0,-85.0
19.779,0.958,-0.13,-0.008,-89.0,-87.0,-85.0
19.828856,0.966,-0.138,-0.008,-89.0,-84.0,-79.0
19.878904,0.934,-0.142,-0.002,-89.0,-84.0,-79.0
19.928952,0.974,-0.144,0.004,-89.0,-84.0,-79.0
19.979,0.978,-0.136,-0.012,-89.0,-84.0,-79.0
20.029856,0.966,-0.132,-0.014,-89.0,-84.0,-79.0
20.079904,0.944,-0.144,-0.016,-89.0,-84.0,-79.0
20.129952,0.974,-0.136,-0.02,-89.0,-84.0,-79.0
20.18,0.926,-0.146,-0.02,-89.0,-84.0,-79.0
20.279904,0.966,-0.144,-0.024,-87.0,-84.0,-79.0
20.329952,0.976,-0.136,0.006,-87.0,-84.0,-79.0
20.38,0.974,-0.12,0.006,-87.0,-84.0,-79.0
20.429856,0.962,-0.144,0.006,-89.0,-84.0,-79.0
20.479904,0.968,-0.142,-0.014,-89.0,-84.0,-79.0
20.529952,0.974,-0.128,-0.008,-89.0,-84.0,-79.0
20.58,0.978,-0.144,-0.016,-89.0,-84.0,-79.0
20.629856,0.962,-0.136,-0.008,-89.0,-85.0,-79.0
20.679904,0.966,-0.136,-0.002,-89.0,-85.0,-79.0
20.729952,0.966,-0.132,-0.008,-89.0,-85.0,-79.0
20.78,0.968,-0.144,-0.014,-89.0,-85.0,-79.0
20.829856,0.962,-0.138,-0.004,-91.0,-86.0,-86.0
20.879904,0.974,-0.136,-0.008,-91.0,-86.0,-86.0
20.929952,0.974,-0.136,-0.002,-91.0,-86.0,-86.0
20.98,0.966,-0.136,-0.002,-91.0,-86.0,-86.0
21.030856,0.958,-0.13,-0.014,,-86.0,-79.0
21.080904,0.978,-0.136,-0.018,,-86.0,-79.0
21.130952,0.974,-0.138,-0.004,,-86.0,-79.0
21.181,0.968,-0.154,0.004,,-86.0,-79.0
21.230856,0.952,-0.136,-0.02,,-85.0,-79.0
21.280904,0.976,-0.142,-0.01,,-85.0,-79.0
