start,end,name,index
1541.36,1543.85,kitchen,4
1550.41,1554.017,bed2,2
1553.856,1563.852,kitchen,4
1581.36,1583.849,kitchen,4
1591.368,1593.849,kitchen,4
1589.649,1596.574,bed2,2
1603.06,1603.848,kitchen,4
1600.419,1609.65,bed2,2
1612.595,1619.65,bed2,2
1623.078,1623.847,kitchen,4
1633.066,1633.848,kitchen,4
1651.414,1653.848,kitchen,4
1656.358,1656.578,bed2,2
1661.359,1663.85,kitchen,4
1662.3,1670.844,bed2,2
1671.396,1673.092,kitchen,4
1673.851,1678.279,bed2,2
1691.403,1693.849,kitchen,4
1711.359,1713.847,kitchen,4
1721.359,1723.851,kitchen,4
1709.647,1730.415,bed2,2
1733.023,1733.848,kitchen,4
1741.357,1743.847,kitchen,4
1753.044,1753.847,kitchen,4
1761.358,1763.851,kitchen,4
1770.415,1776.577,bed2,2
1773.849,1783.848,kitchen,4
1778.335,1786.573,bed2,2
1785.673,1793.898,stairs,6
1789.655,1802.28,toilet,8
1801.369,1803.883,kitchen,4
1806.582,1809.678,toilet,8
1812.282,1813.883,kitchen,4
1832.291,1833.884,kitchen,4
1841.409,1843.882,kitchen,4
1851.384,1853.883,kitchen,4
1856.593,1859.651,stairs,6
1856.336,1862.257,toilet,8
1861.359,1863.893,kitchen,4
1862.907,1867.43,stairs,6
1871.876,1873.881,kitchen,4
1873.049,1879.738,bed1,1
1881.364,1883.883,kitchen,4
1881.494,1892.3,bed1,1
1891.362,1893.903,kitchen,4
1901.491,1902.977,kitchen,4
1903.883,1909.737,stairs,6
1913.076,1913.883,kitchen,4
1916.576,1920.8,bath,0
1921.438,1923.884,kitchen,4
1933.049,1933.898,kitchen,4
1941.422,1943.884,kitchen,4
1945.068,1949.282,bath,0
1953.049,1953.884,kitchen,4
1955.064,1959.278,bath,0
1961.36,1963.886,kitchen,4
1962.89,1970.414,bath,0
1981.464,1983.882,kitchen,4
1989.276,1990.413,bath,0
1991.399,1992.967,kitchen,4
1993.359,1999.305,bath,0
2001.362,2003.885,kitchen,4
2009.281,2010.412,bath,0
2013.0,2013.884,kitchen,4
2021.495,2023.976,kitchen,4
2033.034,2033.892,kitchen,4
2041.512,2043.893,kitchen,4
2045.078,2048.045,bath,0
2053.038,2053.282,kitchen,4
2053.888,2059.285,bath,0
2063.035,2063.883,kitchen,4
2061.621,2070.414,bath,0
2071.455,2073.881,kitchen,4
2076.576,2079.741,stairs,6
2081.401,2083.056,stairs,6
2082.437,2083.576,kitchen,4
2092.285,2093.882,kitchen,4
2083.882,2109.737,living,5
2110.412,2111.478,living,5
2116.521,2119.735,living,5
2110.802,2120.739,kitchen,4
2126.816,2128.793,living,5
2129.79,2158.826,living,5
2168.577,2170.737,stairs,6
2177.068,2178.577,stairs,6
2170.812,2180.801,kitchen,4
2198.575,2198.651,stairs,6
2188.576,2199.736,kitchen,4
2201.418,2203.884,kitchen,4
